review_id,product_id,product_name,review_text,rating
5519,5,Flybot Beat,"No bass in this headphones.. but clear sound and best tor calling...
",3
5520,5,Flybot Beat,"Bad quality product, low volume and no bass, music is flat. Useful only to take calls, these are not to listen to music. Another flaw is buttons, ear is paining when buttons are pressed to take calls or change tracks. Not recommended.
",1
5521,5,Flybot Beat,"Aswome bass  and sound quality is fabelous, mirch phone also working as expected.batteery life also good
",5
5522,5,Flybot Beat,"It was superb experience vid itNice to have good sound quality base..Avoid while driving...
",5
5523,5,Flybot Beat,"Pairing Issue and cheap quality
",1
5524,5,Flybot Beat,"These pods are really awesome and good looking,sound is decent must try this,good packing
",5
5525,5,Flybot Beat,"Sound and quality was awesome as we can see the price is quite good as it is wireless..
",5
5526,5,Flybot Beat,"Good looking very cute pods and worthy product
",5
5527,5,Flybot Beat,"This a great product.comes in a nice box and it's fit in ears perfectly and micro phone working well.sound quality is very nice
",5
5528,5,Flybot Beat,"Quality of the product is so good,and looking great,in recent times this is the best pods I have ever seen and sound clarity also very good
",5
5529,5,Flybot Beat,"Using since 2 weeks and I'm totally in love with this pods so cute and good sound clarity,noise cancellation product
",5
5530,5,Flybot Beat,"Bluetooth connectivity is very good and battery backup is decent
",5
5531,5,Flybot Beat,"Bluetooth connectivity is working as expected and microphone also works well.very good base and sound quality
",5
5532,5,Flybot Beat,"The twin pods are just awesome sounds great and perfect for sports
",5
5533,5,Flybot Beat,"Paisa wasool product and super sound quality...
",5
5534,5,Flybot Beat,"Mind blowing sound and design was excellent thank u amazon
",5
5535,5,Flybot Beat,"The product is very good,the looks are amazing..worth every penny
",5
5536,5,Flybot Beat,"Best sound and also great bass this product is awesome amazing I can't say about this product really really amazing
",5
5537,5,Flybot Beat,"Flybot Beat True Wireless Bluetooth Earphones deliver what it promises, a good sound experience. With the price tag it comes in it's pretty good deal. Light Weight.Looks 9/10Comfort 9.5/10Sound 10/10Battery 9/10
",5
5538,5,Flybot Beat,"I’m using this earphones for few day now & I can say for the price these are the best truly wireless earbuds out there in the market.*Sound quality - balanced sound with good amount of bass.*Fit & Comfort - easily you can find best fit for your ears as these earbuds comes with different sizes of earhooks & earwings, one can comfortably run with these on.*Battery life & Connectivity - battery life is good among these earbuds & can give you 9-12 hours of music play time (along with charging case).Connectivity is really good as earbuds automatically connects to your bluetooth device by just taking them out of the charging case.OVERALL IF YOU ARE ON A TIGHT BUDGET BUT STILL WANTS A GOOD SET OF TRUE WIRELESS EARBUDS THEN LOOK NO FURTHER, JUST GO FOR IT...
",5
5539,5,Flybot Beat,"This is the best quality product in this price .
",5
5540,5,Flybot Beat,"Not recommended
",1
5541,5,Flybot Beat,"It's an overall good product!!The sound quality is amazing and is definitely worth the money.The look and feel are stunning and it fits in our ears perfectly.But during phone calls the voice is not clear and the other person has issues listening our voice.Overall no regrets after buying the product.
",5
