review_id,product_id,product_name,review_text,rating
7177,8,Sennheiser CX 6.0BT,"Bought these headphones in September 2016. the photos i uploaded are from august 2018.i am writing this review after using these headphones for 2 years😅😅.I am a kind of rough user and still this lasted for more than 2 years.and today it broke becuase of my mistake...or else maybe it would have worked for atleast a year.Pros-Best headphone in a price rangeBest music outputBest voice qualityBest for receiving callsUsed them even in moderate rain(dont do it)Cons-Built quality is decent but it could be better as the wire started break after 1.5 years but still this baby worked as a charmSo you can buy it over mi headphones or boat as music isnt that sharp on them but built quality is good.Once again the the photos uploaded abover are after 2 years of rough usage...U should give it a try...
",5
7178,8,Sennheiser CX 6.0BT,"Very good balance in bass and treble. Reflecting true music.Another Best thing  about this earphone has its.. noise cancellation and soft ear buds and extra L- shaped 3.5 mm jack.Wire quality is sturdy.Call quality is also crystal clear.
",5
7179,8,Sennheiser CX 6.0BT,"One of the best headphone in my budget.
",5
7180,8,Sennheiser CX 6.0BT,"I usually don't write reviews, but I've bought two of these and haven't been disappointed.The sound quality is good, but for me, the best feature no one seems to talk about is the mic. I take a lot of calls, and though this doesn't have noise cancellation, it works very well for making calls in noisy environments. I rarely get complaints that others are not able to hear me or of traffic noise disrupting calls (a perennial problem in India). I'm able to take conference calls when travelling, which is a huge plus. The build quality is good. There is a problem that the wire connecting the audio input is weak and tends to break if not stored carefully. I've had that problem once, but Sennheiser replaced this without question. I've started storing the pair in the pouch they supply and have not had issues later.The pouch really keeps things secure. A couple of days ago, I forgot to take it out of my shirt before putting it into the washing machine. I later realized this and picked it from the shirt pocket after the washing cycle, dried the pair and found that it worked as usual - a huge relief.I'm not a huge audiophile and don't wax eloquent on basss/treble reproduction and the like, but for me, this is a great pair for my use cases - good music playback, great service and ability to make calls on the street. I find very few reviews focussing on these, so wanted to highlight these for prospective buyers.
",5
7181,8,Sennheiser CX 6.0BT,"I have used wide ranges of earphones over years, some brands being Skullcandy (Smokin Buds 2), JBL (T 210), Sennheiser (HD 180, HD 210, CX 271, CX400 II Precision, CX 185 Street II, and now CX 275 S) Fiio (f1), Koss (Porta Pro) Audio Technica (ATHCOR150RD),First off there is a large difference between CX 185 Street II and CX 275 S don't even compare, CX 185 has too much of treble with very low bass, CX 275 S is very well balanced, CX 275 S reminds me of my CX 271 which I used for 7 years, its wire was of great quality and tangle free, I would have easily paid an extra 1k for that kind of cable,To anyone looking to buy earphones, go for Audio Technica>JBL if your budget is below 1k and Sennheiser CX 275 S if you just need the best audio output, and regarding other earphones I've used JBL has decent output, and regarding Fiio f1 it is just a piece of crap, it was an impulsive decision I made based just on the brand without any research, don't throw your money in garbage buying it, finally make sure you buy it from a well rated seller.
",5
7182,8,Sennheiser CX 6.0BT,"Firstly I would like to appreciate Amazon.in for its amazingly fast delivery. The product reached in less than 24hrs and I opted for regular delivery.Now about the Product.I have used or still use products like Audio Technica ATH-M50X , Beats Studio, Powerbeats 2 , Jaybird X2 , Panasonic Extra Bass , Bose SoundTrue, Mi Piston3, etc .These Sennheiser earphones are firstly extremely comfortable and lightweight. They have a very loud sound output. The bass is 4/5, Treble is 4/5. The sound quality is rich and it doesn't feels like a sub 2k earphone. The earbuds are small and therefore allow a comfort fit while listening lying down or sleeping and they do not poke or irritate while listening for long hours.I purchased it for Rs 1600/- , it comes with a leather case and a L - Shaped converter which is very thoughtful .Overall i would highly recommend.
",5
7183,8,Sennheiser CX 6.0BT,"After successful of senneheiser CX 180 Street II series I thought I have to purchase CX 275s with microphone. When I put on Dolby Atoms mode it is really work as a beast. Nice sound quality powerful bass. It's wirea are thin but looks sturdy and strong I think it would be long lasting headset. And also One & Only Senneheiser name is enough for music lovers. Many people have different kind of ear phone but when I say I have this beast Senneheiser CX 275s other guys said Dada tusi great ho. Really appreciate you Senneheiser!!!:) How could YOU make this type sound quality which have other have name & brand name also but no one can beat you... Thanks a lot for making this kind of ear phone. And also Many Many thanks for Amazon to giving me this type deal and headset. This is gift fromy lovely DAD. Thanks PAPA...for UR love.
",5
7184,8,Sennheiser CX 6.0BT,"Ordered 2. In that, one started to malfunction within few days. Right side is not audible.
",1
7185,8,Sennheiser CX 6.0BT,"I don't know why this earphone is getting a lot of hate from a lot of people. Quite frankly I've tried tons of earphones at this price point and personally the right amount of bass and excellent lows and mids would describe this earphone. If you want Xtreme bass then I would suggest you to go for Sony or JBL earphones. But this is a balanced earphone with the right amount of bass and good clarity.
",5
7186,8,Sennheiser CX 6.0BT,"1st.. I will not say the buit quality is the best but it's good, you have to handle with care. Nd the good point is,there is a pouch with nice quality & looks.2.. Main thing I love the most in Sennheiser is its sound quality.  The sound is Crystal clear. You won't miss a single component of music. The bass vocal treble are balanced. Just catch it if you are a music lover.
",4
