review_id,product_id,product_name,review_text,rating
1,1,boAt Rockerz 255,"No doubt it has a great bass and to a great extent noise cancellation and decent sound clarity and mindblowing battery but the following dissapointed me though i tried a lot to adjust.1.Bluetooth range not more than 10m2. Pain in ear due the conical buds(can be removed)3. Wires are a bit long which makes it odd in front.4. No pouch provided.5. Worst part is very low quality and distoring mic. Other person keeps complaining about my voice.
",3
2,1,boAt Rockerz 255,"This  earphones are unreliable, i bought it before 15 days meanwhile right side ear buds got cracked automatically and it got divided in two parts, and sound quality is also not that much good but ok, one more thing bass is not good as it is a boat earphones.Guys,Also for the proof i have attached picsPlease see and think before buying​ this unreliable product.Thanks.
",1
3,1,boAt Rockerz 255,"i bought itfor 999,I purchased it second time, gifted first one to brother. This is really good.Sound quality is really good.You can connect 2 devices at a time.I connect laptop and mobile both.when listening muaic on Lappy, if u get a call, it switches to mobile,this switch between device is not good but again in this price its awesome.Battery stand by is 36 hours for me, and i have used it continously for 8 hours in one go. So Battery life is pretty awesome.Comfortable on ear.
",4
4,1,boAt Rockerz 255,"Its sound quality is adorable. overall it was good but just for 2 weeks after that it stopped working and since then it never powered on again. I am claiming for warrenty and it is still undergoing.
",1
5,1,boAt Rockerz 255,"Its Awesome... Good sound quality & 8-9 hrs battery life... Just waww look... 😉 I brought just 999 rupees...But Amazon's Packageing system is Very bad... Very poor packaging... Flipcart's packaging system is much better than Amazon...
",5
6,1,boAt Rockerz 255,"After 11 days, the charging port isn't working and now I can't even return it. Wat to do ?? I know there is one year warranty but it is only been 11 days. C'mon boat, please send me new one.
",1
7,1,boAt Rockerz 255,"Sound-4.5/5Build quality-4.5/5Battery life -4/5Earphones quality is good with strong magnetic lock... Straps is good quality and the earphones wires are too good... Buttons quality is good.. sound is full of punchy bass and and balanced treble and has sorrund effect.. good fitting in ears.. hope connectivity is good.. bcz my last boat Bluetooth bassheads 225 had connection issues... This is worth its price... Hope the packaging was good ...there was no bubble wrapping..
",4
8,1,boAt Rockerz 255,"After one month usage reviewing this .Pros-1- sound quality2- design3- weight4- batteryCons1- very bad mic for talking2- can't use while riding bike3 - Music is too loud
",3
9,1,boAt Rockerz 255,"I can’t get enough of this earphone! The bass is amazing and is perfect for a music lover. The battery life is good enough to keep me going all day. The fact that I can connect my laptop and phone at the same time and switch between them makes the experience so much better. I use my earphones a lot for voice calls and this doesn’t let me down at all.  This is a must buy for all music lovers.
",5
10,1,boAt Rockerz 255,"The product durability is 1 month..I just lost my bill details so i cant claim my warrenty .. But this earphones built quality is bad . It stops wrking completely after 1 month sep 14 to nov 11 👈 life span .. Dont lose ur bill details incase u want that warranty..  And after purchasing u must register ur product in boat's site for replacement and warranty
",1
11,1,boAt Rockerz 255,"The sound quality is good. I mean it can’t be compared with Senheiser or Bose but its worth the price.Perfect to use while running; the earbuds are so comfortable that you wouldn’t even feel they are plugged in.
",4
12,1,boAt Rockerz 255,"What on earth is the use of buying such product when it stop working in one month....your happiness sailed off like a BoAt.... #Disappointed
",1
13,1,boAt Rockerz 255,"Hey all, I have used quite a few budget earphones, Senn 180,213,soundmagic e18s, 1more piston, JBL t160, c150si, boat rockerz 225, compared the boat rockers 255 with all these earphones. Additionally I have a Philips basic, a Sony and a JBL headphone. I have bought these for my own use, a few friends and relatives. None of these can compare to the loudness bass and overall effect of these bt earphones. I'm obviously not an audiophile but I know the difference between a good sound and noise. The only concern I found was that the wires hang a lil low and the highs could have been sharper(nitpicking). Cant fault it otherwise. I have It paired with RN5 pro.
",5
14,1,boAt Rockerz 255,"Product stopped working in a month time
",1
15,1,boAt Rockerz 255,"Right speaker is not working at all. Useless product.Big disappointment.
",1
16,1,boAt Rockerz 255,"Received this BoAt 255 earphones yesterday evening.Sound quality is perfect. Good combination of Bass and treble. Can feel every beat.Connectivity is quick. Detects and connects easily.Battery life is good. Stayed around 10-11 hrs.As i received this yesterday evening. Have been playing since then. So its just the first day review. But performance is good.Earphones looks solid. Build quality is good. The magnates are really helpful to hold the earphones. Earphones looks great.Earphone wire could be bit long. But that's fine for me. Not sure about others.Didn't get chance to charge so not sure about the time to full charge.One thing i observed during my 10 hours play time that the music stopped playing itself in middle. Not sure it it gets disconnected or there is some technical problem.But overall performance was nice. Good experience.
",3
17,1,boAt Rockerz 255,"This sound and bass quality is good battery life good noise cancelling is good but its wire is too long and uncomfortable which is not looking good wire is starting from top its looking bad but anyway everything is ok
",4
18,1,boAt Rockerz 255,"The product is a good buy if you are looking for a decent Bluetooth earphones with a reputed brand.Sound quality 4/5)- pretty good with good amount of bass.Durability (4/5)- the material seems durable and the earphones are light weightBattery life (3.5/5)- It has a decent battery life of upto 5-6 hours playtime on 80% volume.Connectivity (3.5/5)- gets connected with seconds but sometimes gets disconnected within a small rangeCall quality (3/5)- call quality is decent, the person on the other end of the call can here you clearly however you need to place the mic exactly near your mouth. Sometimes the call gets distorted.
",3
19,1,boAt Rockerz 255,"Below average product. Not happy at all.Pros : good sound qualityCons : very uncomfortable, silicon buds are not soft. Bought a memory foam bud pair to use it.Battery life is just ok. Once give a low battery alarm, dies within 2 minLittle heavy on earsNo return possible
",1
20,1,boAt Rockerz 255,"he only problem is that as earpieces are of metal so they are heavier than a normal wired earpiece And that makes u feel uncomfortable as u start to feel heavier in ur ears and the earbuds are too sleepery, so heavy earpiece with sleepery earbuds will make u irritate. And seems like boat just focussed on bass for these earphones. Note my words just and just bass, too much bass for long time will surely give u headache. I bought these for 999/- but i don't think so they are worth that. My senhessier cx wired earphones are way too much better than these, way too much. So if u want to buy these then buy only for the sake of wireless feature and not for the sound and build quality.
",3
21,1,boAt Rockerz 255,"The product is great intially !But the real test is after 2 months of useSo reviewing the product after two months of usePros1 The earphones drives you a very rich sound quality inspite of being wireless2 The neck band makes it much more durable then the other earphones3 The flat wire is very durable and the magnets saves it from you loosing it4 The 45 degree tilted earbuds just fits right in most of the ears (you can check with other 45 degree tilted earphones for a day that weather you are comfortable with it or not )5 It comes with 2 pairs of extra buds the small and big while the medium one is already on itCons1 - The connectivity of dual phones is not that easy as shown.(>Connect the earphone to phone A as usual>Disconnect it from the phone A by switching off the Bluetooth on phone A>Now connect the earphone to phone B>Switch off the earphone and switch it on back>Open the Bluetooth settings on phone A and B>From the paired device list select boAt rockers 255 on both the device at the same time.On the earphones you will get to hear YOU ARE NOW CONNECTED TO BOAT ROCKERZ 255 TWICE )2- You get a cracking sound when ideal or just before you dial a number on dial pad3 - Battery life is not accurateSometimes it work hours with 40-60 % battery while sometime it is dead on 80%So Dont rely on the battery indicator  at all but the battery once charged for 2-3 hours works constantly for 5-6 hours on normal volume.I hope this was of some help do mark it helpful  if so...Overall you should go for it when you get a exciting deal on this product
",4
22,1,boAt Rockerz 255,"Don't you guys check the product before selling ? just received the product and one side of the earphone is working and the other is not !
",5
23,1,boAt Rockerz 255,"Got it today, really loved the product.. awesome sound.. i was thinking to buy the Airpod but a friend suggested this to me.. Why spend so much!! So i ordered this and this really is amazing.. it looks good.. have great sound and doesnt hurt ua ears!! I am totally satisfied with this and couldnt say about battery as i have got it, today itself!
",5
24,1,boAt Rockerz 255,"Rightside speaker stop working within 20 days.
",1
25,1,boAt Rockerz 255,"Overall good!But I am unable to connect two devices simultaneously. Please Guide how can i do that.Thank you!
",4
26,1,boAt Rockerz 255,"I just brought it in last week, and to be very frank,it's really Awesome. Beyond my expectations.Sound quality is like having your own personal home theatre,too clear and loud enough, you can listen every single bit of music.And coming to battery backup, they said it's 6hrs but it's more than that, for me it's working near about one and more.I will say,Go for it.
",5
27,1,boAt Rockerz 255,"Defective product. Not working, had to return the defective product.
",1
